temperature_over_omega,N13,valid_N13,N25,valid_N25,N31,valid_N31
0.29,1,0,1,0,1,0
0.274444444444,1,0,1,0,1,0
0.258888888889,1,0,1,0,1,0
0.243333333333,1,0,1,0,1,0
0.227777777778,1,0,1,0,1,0
0.212222222222,1,0,1,0,1,0
0.196666666667,1,0,1,0,1,0
0.181111111111,1,0,1,0,1,0
0.165555555556,1,0,1,0,1,0
0.15,0.113584802541,1,0.173885720605,1,0.192104557081,1
0.142631578947,0.114903523597,1,0.173137128696,1,0.193101445249,1
0.135263157895,0.11600014618,1,0.174337516102,1,0.194088022485,1
0.127894736842,0.118303577804,1,0.175419710755,1,0.197461504612,1
0.120526315789,0.119569297881,1,0.177178430861,1,0.195659989655,1
0.113157894737,0.120651077723,1,0.177281790828,1,0.196584061139,1
0.105789473684,0.121214283334,1,0.178316341216,1,0.197400586995,1
0.0984210526316,0.122399739022,1,0.179224536985,1,0.199854371244,1
0.0910526315789,0.125833778239,1,0.181778149853,1,0.199853999439,1
0.0836842105263,0.125833459709,1,0.181777771479,1,0.199853651344,1
0.0763157894737,0.125833157199,1,0.181777415773,1,0.199853334735,1
0.0689473684211,0.125832878215,1,0.181777091692,1,0.199853057278,1
0.0615789473684,0.125832631572,1,0.181776808139,1,0.199852826891,1
0.0542105263158,0.125832426628,1,0.181776574341,1,0.199852650125,1
0.0468421052632,0.125832271536,1,0.181776397829,1,0.19985252819,1
0.0394736842105,0.125832170168,1,0.181776281085,1,0.199852455821,1
0.0321052631579,0.125832118204,1,0.181776218388,1,0.199852423924,1
0.0247368421053,0.125832100918,1,0.181776194916,1,0.199852415667,1
0.0173684210526,0.125832098434,1,0.181776190417,1,0.199852414851,1
0.01,0.125832098377,1,0.181776190223,1,0.199852414901,1
